Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
KMB,24.80,68.02,2.44,2.70,3.26%,12.09
MSI,36.75,422.32,5.40,3.71,1.21%,51.84
BTO,86.19,7.26,20.86,-,0.80%,0.02
SRE,23.50,1.87,3.40,5.68,3.06%,1.10
AZO,21.81,-,2.90,2.48,-,-
KHC,20.52,0.99,1.84,5.04,4.07%,0.41
DG,20.73,8.84,1.28,2.38,1.07%,0.00
WDAY,-,8.58,7.80,-,-,0.53
SNOW,-,8.74,23.41,-,-,0.00
ROP,47.02,3.00,8.65,5.11,0.60%,0.42
LULU,56.89,15.38,5.93,3.40,-,0.00
ANET,37.46,10.04,10.96,1.88,-,0.00
DXCM,151.49,21.03,16.46,5.08,-,0.91
D,53.85,1.83,2.79,9.62,4.67%,1.75
AEP,20.53,1.98,2.43,3.84,3.59%,1.67
HMC,8.57,0.54,0.39,0.65,3.53%,0.69
LVS,-,12.02,8.99,-,-,3.94
EMR,18.58,4.53,2.55,1.86,2.50%,0.93
ECL,44.04,6.60,3.33,3.60,1.26%,1.19
KDP,35.24,1.83,3.29,5.68,2.45%,0.52
ITUB,8.51,1.50,1.23,0.69,3.86%,4.29
NTR,3.62,1.02,0.91,-,4.13%,0.46
MET,24.12,1.78,0.67,5.04,3.39%,0.66
F,-,1.10,0.29,-,5.05%,3.21
CTAS,36.59,12.76,5.33,3.02,1.01%,0.75
BBVA,6.43,0.85,1.35,0.16,9.59%,1.28
RDY,22.60,3.73,3.44,0.65,0.64%,0.08
IOT,-,10.03,15.31,-,-,0.00
LII,19.61,-,2.09,1.64,1.50%,-
NBIX,65.57,5.70,6.68,2.75,-,0.10
DOCU,-,16.16,3.95,-,-,1.17
ZG,-,2.25,5.07,-,-,0.38
NWSA,34.53,1.25,0.97,-,1.14%,0.37
LOGI,22.78,4.24,2.06,-,1.63%,0.00
TWLO,-,0.92,2.58,-,-,0.10
MASI,72.80,7.40,4.85,6.12,-,0.71
ALLE,19.95,9.33,2.82,2.22,1.63%,2.04
MTCH,29.76,-,3.06,1.80,-,-
CDAY,-,4.62,7.82,-,-,0.58
NLY,-,0.96,8.83,-,13.01%,7.02
DKNG,-,7.45,4.32,-,-,0.95
JHX,19.16,6.31,2.50,6.61,3.14%,0.64
TPR,12.16,4.22,1.46,0.99,2.94%,0.72
TOST,-,8.58,3.53,-,-,0.00
APLS,-,54.18,127.55,-,-,2.58
EMN,13.39,1.95,0.91,2.46,3.75%,1.00
MTN,29.25,6.63,3.40,5.85,3.43%,1.96
PFGC,36.60,2.76,0.17,1.46,-,1.19
DAR,13.26,2.51,1.46,0.31,-,0.89
PAG,7.67,2.22,0.34,5.11,1.76%,1.06
OSH,-,-,4.40,-,-,-
JNPR,19.82,2.18,1.73,1.67,2.92%,0.36
AEG,-,0.61,-,-,7.40%,0.48
PNR,19.48,3.41,2.29,2.74,1.52%,0.89
FHN,10.85,1.30,3.06,1.14,3.42%,0.22
LECO,20.99,8.59,2.43,1.40,1.53%,1.03
OC,7.74,2.04,0.97,1.92,1.95%,0.63
RGA,15.47,2.29,0.58,-,2.25%,0.96
FNF,8.71,1.70,0.81,-,5.07%,0.58
CRL,20.07,3.25,2.36,2.10,-,0.91
CZR,-,2.61,0.86,-,-,6.83
TEVA,-,1.23,0.63,-,-,2.69
WSC,32.24,5.98,4.24,-,-,1.85
UWMC,13.86,3.87,4.45,-,6.67%,67.33
RXDX,-,12.33,1362.78,-,-,0.00
RNR,-,2.01,1.80,-,0.71%,0.26
AGCO,10.44,2.38,0.73,1.48,0.94%,0.38
EQH,5.94,99.96,0.73,0.73,3.08%,143.04
PAA,10.84,1.16,0.16,1.25,8.29%,1.09
ONON,160.64,9.52,6.69,-,-,0.18
LBTYK,16.95,0.42,1.27,-,-,-
FLEX,11.66,2.06,0.31,0.92,-,0.89
YPF,3.35,0.52,0.80,0.07,-,0.73
LBTYA,59.66,0.40,1.26,-,-,0.61
QRVO,21.62,2.23,2.20,2.16,-,0.00
PNW,19.90,1.47,2.09,2.82,4.41%,1.34
KEP,-,0.30,0.17,-,-,3.08
VFC,22.08,2.75,0.77,-,5.10%,1.94
BSAC,8.97,1.75,1.76,1.18,6.53%,4.63
ARMK,39.89,2.87,0.53,1.25,1.27%,2.60
CX,16.26,0.83,0.57,1.20,-,0.78
KNX,13.69,1.30,1.23,2.10,0.99%,0.27
FSV,40.09,5.40,1.66,3.08,0.81%,0.81
RGLD,36.38,3.17,14.67,4.58,1.13%,0.21
TPG,96.89,2.00,4.66,8.53,6.90%,0.00
JAZZ,-,2.87,2.41,-,-,1.86
XRAY,-,2.37,2.24,-,1.34%,0.51
VST,-,3.26,0.64,-,3.31%,4.58
DCP,8.81,1.50,0.58,0.31,4.15%,0.85
TX,6.23,0.70,0.55,6.23,10.38%,0.09
USFD,39.83,2.17,0.26,2.02,-,1.27
ZI,139.55,3.88,7.89,5.15,-,0.54
VIPS,11.05,2.07,0.58,0.84,-,0.08
RRX,17.87,1.35,1.65,1.45,1.08%,0.32
ASR,15.03,3.57,5.85,-,2.67%,0.35
BEP,-,1.44,1.80,-,-,-
BKI,18.77,3.28,5.50,7.82,-,1.03
CASY,19.04,3.27,0.56,2.21,0.66%,0.64
CTLT,22.18,1.85,1.78,3.33,-,0.99
OVV,2.54,1.16,0.68,0.14,3.33%,0.47
AAL,5.16,-,0.16,-,-,-
XPEV,-,1.53,2.16,-,-,0.24
BILL,-,1.99,9.72,-,-,0.44
GGB,3.87,0.94,0.50,-,13.35%,0.30
SNX,12.44,1.03,0.13,1.50,1.57%,0.54
DINO,3.17,0.95,0.22,0.05,4.08%,0.35
BXP,10.71,1.36,2.62,1.53,7.35%,2.36
CGNX,38.74,5.73,8.22,13.04,0.59%,0.00
BILI,-,3.66,2.60,-,-,1.00
SSL,3.93,0.75,0.49,-,9.54%,0.65
EME,18.80,3.95,0.72,18.80,0.42%,0.17
CHE,34.70,10.29,3.77,3.94,0.28%,0.12
HAS,68.86,2.89,1.43,255.04,4.73%,1.40
ESLT,29.75,3.13,1.48,2.73,1.09%,0.39
UNM,6.49,0.91,0.68,0.63,3.13%,0.37
BSMX,5.97,0.05,0.11,0.59,12.17%,-
RGEN,46.74,4.41,10.08,7.80,-,0.15
G,23.71,4.47,1.84,2.52,1.23%,0.80
HII,13.96,2.32,0.75,1.70,2.46%,0.83
WSM,7.39,4.72,0.93,0.83,2.97%,0.00
FBIN,18.83,3.97,2.09,-,1.42%,1.28
